from,to
5001,3126
5002,3127
5005,3130
5006,3131
5010,3135
5025,3150
5026,3151
5030,3155
5050,3175
5125,3250
5126,3251
5130,3255
5150,3275
5250,3375
5625,3750
5626,3751
5630,3755
5650,3775
5750,3875
6250,0
6251,1
6252,6250
6253,6250
6254,6251
6255,5
6256,6
6257,6255
6258,6255
6260,6250
6261,6251
6262,6260
6265,6250
6266,6251
6270,6255
6275,25
6276,26
6277,6275
6278,6275
6280,30
6281,6250
6282,6251
6285,6275
6286,6255
6290,6275
6300,6250
6301,6251
6302,6300
6305,6255
6306,6275
6310,6300
6325,6250
6326,6251
6330,6255
6350,6275
6375,125
6376,126
6377,6375
6378,6375
6380,130
6381,131
6382,6380
6385,6375
6386,136
6390,6375
6400,150
6401,151
6402,6400
6405,6250
6406,6375
6410,6255
6425,6375
6426,176
6430,6275
6450,6375
6500,6250
6501,6251
6502,6500
6505,6255
6506,6256
6510,6500
6525,6275
6526,6276
6530,6375
6550,6500
6625,6250
6626,6251
6630,6255
6650,6275
6750,6375
6875,625
6876,626
6877,6875
6878,6875
6880,630
6881,631
6882,6880
6885,6875
6886,6876
6890,6875
6900,650
6901,651
6902,6900
6905,655
6906,6875
6910,6900
6925,6875
6926,676
6930,680
6950,6875
7000,3125
7001,3126
7002,3127
7005,3130
7006,3131
7010,3135
7025,6250
7026,6251
7030,6875
7050,6275
7125,3250
7126,3251
7130,3255
7150,6375
7250,6875
7500,6250
7501,6251
7502,7500
7505,6255
7506,6256
7510,7500
7525,6275
7526,6276
7530,6280
7550,7500
7625,3750
7626,3751
7630,3755
7650,6875
7750,3875
8125,6250
8126,6251
8130,6255
8150,6275
8250,6375
8750,6875
9375,0
9376,1
9377,2
9378,9375
9380,5
9381,6
9382,7
9385,10
9386,11
9390,9375
9400,25
9401,26
9402,27
9405,30
9406,31
9410,35
9425,50
9426,51
9430,55
9450,9375
9500,125
9501,126
9502,127
9505,130
9506,131
9510,135
9525,150
9526,151
9530,155
9550,175
9625,250
9626,251
9630,255
9650,275
9750,9375
10000,625
10001,626
10002,627
10005,630
10006,631
10010,635
10025,650
10026,651
10030,655
10050,675
10125,750
10126,751
10130,755
10150,775
10250,875
10625,1250
10626,1251
10630,1255
10650,1275
10750,1375
11250,9375
12500,3125
12501,3126
12502,3127
12505,3130
12506,3131
12510,3135
12525,3150
12526,3151
12530,3155
12550,3175
12625,3250
12626,3251
12630,3255
12650,3275
12750,3375
13125,3750
13126,3751
13130,3755
13150,3775
13250,3875
13750,4375
15627,15625
15628,15625
15629,15626
15631,15625
15632,15630
15633,15630
15634,15631
15635,15625
15636,15626
15637,15635
15638,15635
15640,15625
15641,15626
15642,15627
15645,15630
15646,15631
15651,15625
15652,15650
15653,15650
15654,15651
15655,15625
15656,15625
15657,15626
15658,15655
15660,15650
15661,15630
15662,15631
15665,15650
15666,15651
15670,15655
15675,15625
15676,15626
15677,15675
15678,15675
15680,15630
15681,15650
15682,15651
15685,15675
15686,15655
15690,15675
15700,15625
15701,15626
15702,15627
15705,15630
15706,15631
15710,15635
15725,15650
15726,15651
15730,15655
15752,15750
15753,15750
15754,15751
15755,15625
15756,15626
15757,15755
15758,15755
15760,15750
15761,15631
15762,15760
15765,15750
15766,15751
15770,15755
15775,15625
15776,15750
15777,15775
15778,15775
15780,15625
15781,15750
15782,15751
15785,15630
15786,15755
15790,15775
15800,15750
15801,15775
15802,15800
15805,15650
15806,15775
15810,15655
15825,15750
15826,15751
15830,15755
15850,15775
15875,15625
15876,15626
15877,15875
15878,15875
15880,15630
15881,15631
15882,15880
15885,15875
15886,15876
15890,15875
15900,15650
15901,15651
15902,15900
15905,15750
15906,15875
15910,15755
15925,15875
15926,15876
15930,15775
15950,15875
16000,15625
16001,15626
16002,15627
16005,15630
16006,15631
16010,15635
16025,15650
16026,15651
16030,15655
16050,15675
16125,15750
16126,15751
16130,15755
16150,15775
16250,0
16251,1
16252,16250
16253,16250
16254,16251
16255,5
16256,6
16257,16255
16258,16255
16260,16250
16261,16251
16262,16260
16265,16250
16266,16251
16270,16255
16275,15625
16276,16250
16277,16275
16278,16275
16280,30
16281,16250
16282,16251
16285,16275
16286,16255
16290,16275
16300,16250
16301,16251
16302,16300
16305,16255
16306,16275
16310,16300
16325,16250
16326,16251
16330,16255
16350,16275
16375,125
16376,126
16377,16375
16378,16375
16380,16250
16381,16251
16382,16380
16385,16375
16386,16256
16390,16375
16400,15625
16401,15626
16402,15627
16405,16250
16406,16375
16410,16255
16425,15650
16426,15651
16430,16275
16450,16375
16500,16250
16501,16251
16502,16500
16505,16255
16506,16256
16510,16500
16525,15750
16526,15751
16530,16375
16550,15775
16625,16250
16626,16251
16630,16255
16650,16275
16750,16375
16875,15625
16876,15626
16877,16875
16878,16875
16880,15630
16881,15631
16882,16880
16885,16875
16886,16876
16890,16875
16900,16250
16901,15651
16902,16900
16905,15655
16906,16875
16910,16900
16925,16875
16926,16900
16930,16280
16950,16875
17000,750
17001,751
17002,17000
17005,15755
17006,756
17010,17000
17025,16250
17026,16251
17030,16875
17050,16275
17125,16875
17126,16876
17130,17000
17150,16375
17250,16875
17500,15625
17501,15626
17502,15627
17505,15630
17506,15631
17510,15635
17525,15650
17526,15651
17530,15655
17550,15675
17625,15750
17626,15751
17630,15755
17650,15775
17750,15875
18125,16250
18126,16251
18130,16255
18150,16275
18250,16375
18750,0
18751,1
18752,18750
18753,18750
18754,18751
18755,5
18756,18750
18757,18755
18758,18755
18760,18750
18761,18751
18762,18760
18765,18750
18766,18751
18770,18755
18775,25
18776,18750
18777,18775
18778,18775
18780,18750
18781,18750
18782,18751
18785,18775
18786,18755
18790,18775
18800,18750
18801,18751
18802,18800
18805,18755
18806,18775
18810,18800
18825,18750
18826,18751
18830,18755
18850,18775
18875,15625
18876,15626
18877,18875
18878,18875
18880,18750
18881,18751
18882,18880
18885,18875
18886,18756
18890,18875
18900,18750
18901,18875
18902,18900
18905,18750
18906,18875
18910,18755
18925,18875
18926,18900
18930,18775
18950,18875
19000,18750
19001,18751
19002,19000
19005,18755
19006,18756
19010,19000
19025,18775
19026,18776
19030,18875
19050,19000
19125,18750
19126,18751
19130,18755
19150,18775
19250,18875
19375,0
19376,1
19377,2
19378,19375
19380,5
19381,6
19382,7
19385,10
19386,11
19390,19375
19400,25
19401,26
19402,27
19405,30
19406,19375
19410,35
19425,50
19426,51
19430,55
19450,19375
19500,15625
19501,15626
19502,15627
19505,15630
19506,15631
19510,15635
19525,18750
19526,18751
19530,19375
19550,18775
19625,15750
19626,15751
19630,15755
19650,18875
19750,19375
20000,625
20001,626
20002,627
20005,630
20006,631
20010,635
20025,650
20026,651
20030,655
20050,675
20125,16250
20126,16251
20130,16255
20150,19375
20250,16375
20625,18750
20626,18751
20630,18755
20650,18775
20750,18875
21250,19375
21875,15625
21876,15626
21877,21875
21878,21875
21880,15630
21881,15631
21882,21880
21885,21875
21886,21876
21890,21875
21900,15650
21901,15651
21902,21900
21905,15655
